itemLabel,areaLabel,partyLabel,startDate,endDate
Sylvestre Zama,Kaga-Bandoro II,Indep.,2005-05-08,
Pierre Marie Franck,Mbrés,Indep.,2005-05-08,
Toussaint Akondja,Bambari I,Indep.,2005-05-08,
Pierre Yokongo,Bambari III,Indep.,2005-05-08,
Samuel Shaba Kossi Nguérémbi,Bakala,MDI,2005-05-08,
Maurice Bangayassi,Grimari,MDI,2005-05-08,
Victorien Yama Davy,Kouango I,PUN,2005-05-08,
Joseph Lougbia,Kouango II,,2005-05-08,
Yvonne Ndjapou,Ippy,Indep.,2005-05-08,
Sallé Djibalbaye,Ndélé,Indep. KNK,2005-05-08,
Joseph Katékondji,Bria I,PSD,2005-05-08,2006-08
Abdoulaye Midjani,Bria I,PSD,2006-08,
Lamine Ouabanga,Bria II,,2005-05-08,
Ibrahim Fidèle Gonda,Ouadda,,2005-05-08,
Simon Pierre Goumba,Birao I,MUPS - KNK,2005-05-08,
Mahamat Abras,Birao II,,2005-05-08,
Moussa Grébaye,Ouadda Djallé,Indep.,2005-05-08,
Marguerite Pétro-Koni Zézé,Mobaye,RDC,2005-05-08,
Paul Fidèle Georges Abouka,Alindao I,ADP,2005-05-08,
Thomas Poundassé Bandéko,Alindao II,FPP,2005-05-08,
Etienne Banga,Mingala,PNCN,2005-05-08,
Michel Ndémazou,Zangba,Indep.,2005-05-08,
Odon Kondolas Kpékozoma,Bangassou I,Indep.,2005-05-08,
Joseph Nida,Bangassou II,Indep.,2005-05-08,
Cymossi Etienne Kezza Koyangbo,Gambo,ADP,2005-05-08,
David Dendou,Rafaï,PUN,2005-05-08,
Diarra Alima,Bakouma,,2005-05-08,
Auguste Agoudé,Obo,,2005-05-08,
Martin Dalou Wamboli,Zémio,Löndö,2005-05-08,
Moctar Samuel Mossambou,Boganangone,PDC,2005-06-19,
