minister,country,startdate,enddate,position
Jean-Paul Ngoupande,CAR,2005-06-19,2013-03-24,"Foreign Affairs, Regional Integration and Francophone Affairs"
Jean-Pierre Lebouder,CAR,2003-12-15,2004-09-02,"Economy, Finance and Planning"
Job Izima,CAR,2005-06-19,2013-03-24,"Communication, National Reconciliation, Democratic Culture and Promotion of Human Rights"
Joseph Kalite,CAR,2000-04-17,2001-04-06,"Equipment, Territorial Development and Town Planning"
Joseph Ki Tiki Kouamba,CAR,2003-03-31,2004-09-02,"Environment, Sustainable Development and National Economy"
Joseph Mozoule,CAR,2001-08-31,2003-01-15,Interior
Laurent Gonbala,CAR,2001-04-06,2003-03-15,Civil Service and Employment
Lea Doumbta,CAR,2003-03-31,2004-09-02,"Family, Social Affairs and National Solidarity"
Leon Salam,CAR,2003-03-31,2003-12-15,"Youths, Sports, Arts and Culture"
Marcel Beti Maras,CAR,2003-01-15,2003-03-15,Foreign Affairs
Marcel Malonga,CAR,2003-03-31,2003-12-15,Territorial Administration
Martin Ziguele,CAR,2001-04-06,2001-08-26,Prime Minister
Maurice Regonessa,CAR,1999-11-02,2001-04-06,Interior
Maurice Regonessa,CAR,2003-01-15,2003-03-15,Defence
Maurice Yondu,CAR,2003-03-31,2003-12-15,"Water, Forests and Fisheries"
Michel Docko,CAR,2001-04-06,2003-03-15,Culture and Relations with the Parliament
Michel Gbezera-Bria,CAR,1999-11-02,2001-04-06,Presidential Affairs
Michel Salle,CAR,2003-12-15,2004-09-02,"Water, Forests, Hunting and Fishing"
Michel-Paulin Bondeboli,CAR,2003-03-31,2003-12-15,Interior and Public Security
Mpokomanji Soli,CAR,2003-03-31,2005-06-19,Equipment and Transport
Nathalie Constance Gounebana,CAR,1999-11-02,2001-04-06,Tourism
Nestor Mamadou Nali,CAR,2003-03-31,2005-06-19,Public Health and Population
Parfait Mbaye,CAR,2003-03-31,2004-09-02,"Communications, National Reconciliation and Democratic and Civic Culture"
Paul Otto,CAR,2005-06-19,2013-03-24,Justice
Pierre Angoua,CAR,2001-08-31,2003-01-15,Defence
Pierre Guianza,CAR,2003-03-31,2003-12-15,Agricultural Modernisation and Development
Rachel Dea Nambonu,CAR,1999-11-02,2000-04-17,Family and Social Affairs
Richard Lakue,CAR,1999-11-02,2001-04-06,Health and Population
Salomon Namkosserena,CAR,2001-04-06,2003-03-15,Promotion of Rural Life
Solange Pagonéndji N'dackala,CAR,2004-09-02,2013-03-24,"Family, Social Affairs and National Solidarity"
Sylvain Maliko,CAR,2005-06-19,2013-03-24,"Economy, Planning and International Cooperation"
Sylvain Mbutingaye,CAR,2003-03-31,2013-03-24,Energy and Mines
Theodore Biko,CAR,2001-04-06,2001-08-31,"Interior, Territorial Administration"
Théodore Dabanga,CAR,2005-06-19,2013-03-24,Finance
Timoleon Mbaikoua,CAR,1999-11-02,2003-03-15,Higher Education and Scientific Research
Timoleon Mbaikoua,CAR,2005-06-19,2013-03-24,Education
